state,count
Alabama,20
Alaska,3
Arizona,2
Arkansas,1
California,50
Colorado,4
Connecticut,8
Delaware,11
Florida,19
Georgia,0
Hawaii,0
Idaho,1
Illinois,12
Indiana,18
Lowa,1
Kansas,1
Kentucky,1
louisana,0
Maine,0
Maryland,23
Massachusetts,29
Michigan,31
Minnesota,17
Mississippi,2
Missouri,7
Montana,1
Nebraska,0
Nevada,0
New Hampshire,1
NewJersey,31
New Mexico,1
New York,71
North Carolina,1
North Dakota,0
Ohio,4
Oklahoma,13
Oregon,18
Pennsylvania,94
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,41
Utah,22
Vermont,0
Virgina,16
Washington,45
West Virginia,6
Wisconsin,9
Wyoming,0
